id,condicao,nome,forma_pagamento,anotacao,valor,data_compra,tipo_transacao,qtde_parcela,periodo,parcela_atual,qtde_recorrencia,data_vencimento,dt_pagamento_boleto,realizado,dividido,antecipado,antecipacao_id,created_at,user_id,cartao_id,conta_id,categoria_id,pagador_id
6d176d47-ac56-4ddb-bfef-7664d6ff548d,À vista,DMVariedadesE,Cartão de crédito,,-35.0,2025-11-01,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.934170+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
cfe77aa9-d911-4f5f-8929-78fddaf88442,À vista,2A IMPORTADOS,Cartão de crédito,,-34.98,2025-11-01,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.934475+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
5b16f7a1-5904-4414-bdc4-df870b0f0acf,À vista,L. DA SILVEIRA BALBI,Cartão de crédito,,-83.75,2025-11-01,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.934649+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
7b81cf22-01e8-4bde-b7f1-061a8650fe28,À vista,L. DA SILVEIRA BALBI,Cartão de crédito,,-26.52,2025-11-01,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.934789+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
76e984b2-08fa-4e1d-a9f6-f184e5cbd157,À vista,SUELY BIJUTERIAS,Cartão de crédito,,-13.4,2025-11-04,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.934906+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
acdcca85-b0aa-46db-829c-10b4aebda309,À vista,BENOLIEL BABY E KIDS,Cartão de crédito,,-142.1,2025-11-04,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.935017+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
dcc5a24c-b1e3-4b04-b251-64d517a8bab9,À vista,CAES E CIA RACOES,Cartão de crédito,,-304.5,2025-11-04,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.935184+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,94328c54-0ac7-4515-b65e-9eb5e9f84af5,c7f384ab-caa5-4452-91a7-0c4d9ced337f
5e4e57a4-f3a2-47c1-a50b-da66c6607f48,À vista,AcaiDoVila,Cartão de crédito,,-20.0,2025-11-05,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.935348+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,24caf242-3ba2-4610-97eb-1743f654630e,c7f384ab-caa5-4452-91a7-0c4d9ced337f
57e38bb5-1971-45b1-b8e9-2cdf656a21a9,À vista,POSTO NOVO HORIZONTE,Cartão de crédito,,-200.0,2025-11-05,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.935508+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,c263532e-d9c3-49e8-aedc-3bc624d70705,c7f384ab-caa5-4452-91a7-0c4d9ced337f
1c3b740f-ad3b-434c-bc7f-a68ebbb1fa4b,À vista,RUTH ARMARINHO E PAPEL,Cartão de crédito,,-20.0,2025-11-05,Despesa,,2025-11,,,,,,False,False,,2025-12-01 19:25:16.935654+00,iVZqN1iLm157P6IsPFDLu7myEtanSmuE,7fb0690c-bf13-4e0c-a2a8-470f22d9b80e,,6cf64a01-c3b6-429d-b571-c53642298013,c7f384ab-caa5-4452-91a7-0c4d9ced337f
